INDEX,NDVImax250,JJA_tavg25,JJA_ppt_av,JJA_mean_w,distance_w,dist_pastu,dem250,remoteness,soil250,veg250,slope250,Latitude,Longitude,PresBack
8783,7318.160156,9.5306501,39.9608002,4.6189499,250.0,1457.73999,59.0,0.0,3.0,9.0,0.390606,65.97758844837307,-19.956770510072687,1
8442,7597.75,9.13517,41.7237015,4.4333301,500.0,707.1069946,38.1411018,0.0,3.0,2.0,2.8175001,65.97893147920288,-20.376763272642933,1
7161,7834.330078,8.1294699,51.4840012,4.3000002,1457.73999,4007.800049,91.7975998,0.0,3.0,2.0,4.8358798,65.981844866658,-22.387197522440633,1
8134,8017.899902,9.17348,42.0028992,4.4330401,559.0170288,250.0,31.0293007,0.0,9.0,3.0,2.52127,65.98705551560539,-20.381072590180075,1
7161,7834.330078,8.1294699,51.4840012,4.3000002,1457.73999,4007.800049,91.7975998,0.0,3.0,2.0,4.8358798,65.98739352844522,-22.39628250820392,1
8153,8152.029785,9.6296301,39.6666985,4.6333299,1802.780029,353.553009,17.0,0.0,3.0,4.0,3.1396899,65.98830450186027,-19.969981508605482,1
8134,8017.899902,9.17348,42.0028992,4.4330401,559.0170288,250.0,31.0293007,0.0,9.0,3.0,2.52127,65.98958275417377,-20.38131824226074,1
7922,7181.100098,8.6333303,47.3964996,5.0732598,2250.0,559.0170288,74.8620987,0.0,1.0,6.0,5.0661001,65.99191542302181,-17.37519174114084,1
6854,7409.209961,7.9352498,53.6660004,4.3000002,1060.660034,3010.399902,170.7590027,0.0,3.0,2.0,9.3501501,65.99233198361634,-22.401233863766297,1
6499,6358.140137,9.53755,63.0978012,3.63658,4069.709961,1274.75,31.2570992,0.0,9.0,4.0,4.64674,65.99200724566727,-14.847274778132014,1
8153,8152.029785,9.6296301,39.6666985,4.6333299,1802.780029,353.553009,17.0,0.0,3.0,4.0,3.1396899,65.99318084033126,-19.970385417011737,1
8153,8152.029785,9.6296301,39.6666985,4.6333299,1802.780029,353.553009,17.0,0.0,3.0,4.0,3.1396899,65.99322388974154,-19.973535822255982,1
8153,8152.029785,9.6296301,39.6666985,4.6333299,1802.780029,353.553009,17.0,0.0,3.0,4.0,3.1396899,65.99453532663202,-19.973211063904913,1
6500,7487.330078,9.34233,63.5390015,3.73965,3092.330078,1767.77002,60.0,0.0,9.0,4.0,0.121996,65.99537864753387,-14.840286819790556,1
6554,7643.330078,8.0338402,51.9370003,4.3000002,1030.780029,1952.560059,91.964798,0.0,3.0,2.0,23.0412998,66.00278533493508,-22.41104235492608,1
6554,7643.330078,8.0338402,51.9370003,4.3000002,1030.780029,1952.560059,91.964798,0.0,3.0,2.0,23.0412998,66.00278533493508,-22.41104235492608,1
6554,7643.330078,8.0338402,51.9370003,4.3000002,1030.780029,1952.560059,91.964798,0.0,3.0,2.0,23.0412998,66.00278533493508,-22.41104235492608,1
6554,7643.330078,8.0338402,51.9370003,4.3000002,1030.780029,1952.560059,91.964798,0.0,3.0,2.0,23.0412998,66.00204213755786,-22.41584032151184,1
6554,7643.330078,8.0338402,51.9370003,4.3000002,1030.780029,1952.560059,91.964798,0.0,3.0,2.0,23.0412998,66.00268879775327,-22.41420576886116,1
6208,7759.640137,9.3624601,63.4464989,3.83935,4257.350098,353.553009,27.2535,0.0,2.0,4.0,2.8593199,66.00246353554589,-14.853156131289897,1
7851,6048.339844,9.44806,40.5289001,4.6333299,500.0,707.1069946,117.2040024,0.0,3.0,4.0,3.7135501,66.00398209812346,-19.979868509013137,1
